batting_team,bowling_team,venue,runs,wickets,overs,runs_last_5,wickets_last_5,crr,overs_left,wkts_in_hand,in_powerplay,remaining_runs
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,21,0,3.0,21.0,0.0,7.0,17.0,10,1,104
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,29,0,4.0,29.0,0.0,7.25,16.0,10,1,96
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,41,0,5.0,41.0,0.0,8.2,15.0,10,1,84
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,49,1,6.0,42.0,1.0,8.166666666666666,14.0,9,1,76
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,58,1,7.0,46.0,1.0,8.285714285714286,13.0,9,0,67
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,64,1,8.0,43.0,1.0,8.0,12.0,9,0,61
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,68,2,9.0,39.0,2.0,7.555555555555555,11.0,8,0,57
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,72,3,10.0,31.0,3.0,7.2,10.0,7,0,53
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,75,4,11.0,26.0,3.0,6.818181818181818,9.0,6,0,50
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,81,4,12.0,23.0,3.0,6.75,8.0,6,0,44
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,88,4,13.0,24.0,3.0,6.769230769230769,7.0,6,0,37
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,89,5,14.0,21.0,3.0,6.357142857142857,6.0,5,0,36
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,97,5,15.0,25.0,2.0,6.466666666666667,5.0,5,0,28
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,103,5,16.0,28.0,1.0,6.4375,4.0,5,0,22
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,106,5,17.0,25.0,1.0,6.235294117647059,3.0,5,0,19
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,112,6,18.0,24.0,2.0,6.222222222222222,2.0,4,0,13
Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,119,7,19.0,30.0,2.0,6.2631578947368425,1.0,3,0,6
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",5,0,1.0,5.0,0.0,5.0,19.0,10,1,114
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",18,0,2.0,18.0,0.0,9.0,18.0,10,1,101
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",22,0,3.0,22.0,0.0,7.333333333333333,17.0,10,1,97
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",25,1,4.0,25.0,1.0,6.25,16.0,9,1,94
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",29,1,5.0,29.0,1.0,5.8,15.0,9,1,90
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",34,1,6.0,29.0,1.0,5.666666666666667,14.0,9,1,85
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",45,1,7.0,27.0,1.0,6.428571428571429,13.0,9,0,74
Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",51,2,8.0,29.0,2.0,6.375,12.0,8,0,68
