batting_team,bowling_team,venue,runs,wickets,overs,runs_last_5,wickets_last_5,crr,overs_left,wkts_in_hand,in_powerplay,remaining_runs
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,130,3,15.0,27.0,2.0,8.666666666666666,5.0,7,0,48
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,139,3,16.0,30.0,2.0,8.6875,4.0,7,0,39
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,154,3,17.0,36.0,2.0,9.058823529411764,3.0,7,0,24
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,164,3,18.0,42.0,2.0,9.11111111111111,2.0,7,0,14
Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,171,5,19.0,47.0,3.0,9.0,1.0,5,0,7
Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,8,0,1.0,8.0,0.0,8.0,19.0,10,1,81
Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,15,0,2.0,15.0,0.0,7.5,18.0,10,1,74
Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,20,1,3.0,20.0,1.0,6.666666666666667,17.0,9,1,69
Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,22,2,4.0,22.0,2.0,5.5,16.0,8,1,67
Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,26,2,5.0,26.0,2.0,5.2,15.0,8,1,63
Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,33,3,6.0,25.0,3.0,5.5,14.0,7,1,56
Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,39,3,7.0,24.0,3.0,5.571428571428571,13.0,7,0,50
Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,41,3,8.0,21.0,2.0,5.125,12.0,7,0,48
Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,49,3,9.0,27.0,1.0,5.444444444444445,11.0,7,0,40
